root_id,root,canonical_pattern,aliases,scope,root_type,demand_category,primary_intent,applicable_domains,example_keywords,status,evidence_level,validation_basis,evidence_ref,source_name,source_url,added_at,last_verified_at,notes
root-online,online,x online,,universal,query_modifier,access,mixed,all,online calculator; online editor,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-analyzer,analyzer,x analyzer,analyse; analysis,universal,functional_suffix,analyze,tool,all,text analyzer; website analyzer,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-checker,checker,x checker,check,universal,functional_suffix,analyze,tool,all,grammar checker; plagiarism checker,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-compiler,compiler,x compiler,,universal,functional_suffix,analyze,tool,all,c++ compiler; online compiler,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-detector,detector,x detector,detect,universal,functional_suffix,analyze,tool,all,ai detector; plagiarism detector,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-evaluator,evaluator,x evaluator,,universal,functional_suffix,analyze,tool,all,website evaluator; expression evaluator,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-interpreter,interpreter,x interpreter,,universal,functional_suffix,analyze,tool,all,python interpreter; dream interpreter,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-optimizer,optimizer,x optimizer,optimiser; optimize,universal,functional_suffix,analyze,tool,all,image optimizer; route optimizer,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-verifier,verifier,x verifier,verify,universal,functional_suffix,analyze,tool,all,email verifier; address verifier,active,L1,Exact member of Gefei 51 published tool-root list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ,Gefei 51 tool roots (original + public mirror),https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-calculator,calculator,x calculator,calc,universal,functional_suffix,calculate,tool,all,mortgage calculator; age calculator,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
